"Sample Number","algorithm","fileSize","kvalue","Time"
185,quickselect,100,6,0.033
186,quickselect,100,54,0.030
187,quickselect,100,26,0.038
188,quickselect,100,3,0.029
189,quickselect,100,57,0.037
190,quickselect,100,27,0.037
191,quickselect,100,37,0.037
192,quickselect,100,51,0.030
193,quickselect,100,40,0.032
194,quickselect,100,90,0.035
195,quickselect,100,62,0.033
196,quickselect,100,78,0.031
197,quickselect,100,30,0.022
198,quickselect,100,55,0.035
199,quickselect,100,5,0.032
200,quickselect,100,39,0.034
001,quickselect,1000,416,0.042
002,quickselect,1000,758,0.038
003,quickselect,1000,476,0.037
004,quickselect,1000,354,0.035
005,quickselect,1000,755,0.032
006,quickselect,1000,109,0.031
007,quickselect,1000,938,0.036
008,quickselect,1000,742,0.027
009,quickselect,1000,31,0.031
010,quickselect,1000,745,0.035
011,quickselect,1000,262,0.031
012,quickselect,1000,196,0.033
013,quickselect,1000,288,0.035
014,quickselect,1000,137,0.037
015,quickselect,1000,427,0.040
016,quickselect,1000,482,0.034
017,quickselect,1000,889,0.033
018,quickselect,1000,269,0.031
019,quickselect,1000,12,0.022
020,quickselect,1000,841,0.036
021,quickselect,1000,613,0.037
022,quickselect,1000,924,0.030
023,quickselect,1000,267,0.031
024,quickselect,1000,190,0.025
025,quickselect,1000,504,0.044
026,quickselect,1000,944,0.034
027,quickselect,1000,749,0.029
028,quickselect,1000,968,0.034
029,quickselect,1000,93,0.031
030,quickselect,1000,43,0.025
031,quickselect,1000,679,0.038
032,quickselect,1000,343,0.032
033,quickselect,1000,6,0.032
034,quickselect,1000,37,0.028
035,quickselect,1000,643,0.026
036,quickselect,1000,745,0.032
037,quickselect,1000,757,0.034
038,quickselect,1000,180,0.029
039,quickselect,1000,809,0.032
040,quickselect,1000,131,0.033
041,quickselect,1000,646,0.028
042,quickselect,1000,347,0.032
043,quickselect,1000,686,0.030
044,quickselect,1000,113,0.027
045,quickselect,1000,928,0.032
046,quickselect,1000,398,0.030
047,quickselect,1000,645,0.028
048,quickselect,1000,878,0.041
049,quickselect,1000,607,0.022
050,quickselect,1000,690,0.028
051,quickselect,1000,408,0.032
052,quickselect,1000,354,0.028
053,quickselect,1000,51,0.031
054,quickselect,1000,296,0.025
055,quickselect,1000,4,0.034
056,quickselect,1000,919,0.023
057,quickselect,1000,254,0.040
058,quickselect,1000,667,0.031
059,quickselect,1000,967,0.033
060,quickselect,1000,730,0.031
061,quickselect,1000,664,0.034
062,quickselect,1000,614,0.028
063,quickselect,1000,491,0.037
064,quickselect,1000,522,0.036
065,quickselect,1000,587,0.029
066,quickselect,1000,255,0.025
067,quickselect,1000,608,0.034
068,quickselect,1000,234,0.029
069,quickselect,1000,502,0.037
070,quickselect,1000,281,0.029
071,quickselect,1000,219,0.033
072,quickselect,1000,717,0.029
073,quickselect,1000,833,0.031
074,quickselect,1000,701,0.032
075,quickselect,1000,321,0.034
076,quickselect,1000,342,0.036
077,quickselect,1000,269,0.027
078,quickselect,1000,446,0.027
079,quickselect,1000,881,0.030
080,quickselect,1000,581,0.029
081,quickselect,1000,873,0.024
082,quickselect,1000,143,0.026
083,quickselect,1000,948,0.035
084,quickselect,1000,969,0.031
085,quickselect,1000,628,0.035
086,quickselect,1000,869,0.029
087,quickselect,1000,813,0.026
088,quickselect,1000,785,0.031
089,quickselect,1000,405,0.031
090,quickselect,1000,467,0.034
091,quickselect,1000,513,0.029
092,quickselect,1000,96,0.036
093,quickselect,1000,940,0.030
094,quickselect,1000,369,0.034
095,quickselect,1000,341,0.032
096,quickselect,1000,684,0.027
097,quickselect,1000,255,0.032
098,quickselect,1000,740,0.031
099,quickselect,1000,506,0.037
100,quickselect,1000,229,0.028
101,quickselect,1000,900,0.035
102,quickselect,1000,188,0.031
103,quickselect,1000,881,0.026
104,quickselect,1000,301,0.034
105,quickselect,1000,42,0.026
106,quickselect,1000,640,0.035
107,quickselect,1000,486,0.037
108,quickselect,1000,908,0.039
109,quickselect,1000,550,0.029
110,quickselect,1000,10,0.035
111,quickselect,1000,399,0.024
112,quickselect,1000,368,0.031
113,quickselect,1000,598,0.034
114,quickselect,1000,162,0.028
115,quickselect,1000,105,0.034
116,quickselect,1000,975,0.035
117,quickselect,1000,647,0.034
118,quickselect,1000,899,0.026
119,quickselect,1000,319,0.023
120,quickselect,1000,812,0.030
121,quickselect,1000,142,0.026
122,quickselect,1000,464,0.034
123,quickselect,1000,961,0.025
124,quickselect,1000,587,0.034
125,quickselect,1000,704,0.024
126,quickselect,1000,364,0.032
127,quickselect,1000,21,0.033
128,quickselect,1000,605,0.027
129,quickselect,1000,507,0.035
130,quickselect,1000,4,0.027
131,quickselect,1000,985,0.038
132,quickselect,1000,594,0.032
133,quickselect,1000,953,0.033
134,quickselect,1000,405,0.028
135,quickselect,1000,332,0.022
136,quickselect,1000,826,0.032
137,quickselect,1000,193,0.041
138,quickselect,1000,340,0.033
139,quickselect,1000,711,0.030
140,quickselect,1000,57,0.022
141,quickselect,1000,259,0.035
142,quickselect,1000,850,0.032
143,quickselect,1000,287,0.030
144,quickselect,1000,318,0.033
145,quickselect,1000,398,0.033
146,quickselect,1000,700,0.029
147,quickselect,1000,935,0.029
148,quickselect,1000,810,0.026
149,quickselect,1000,268,0.028
150,quickselect,1000,676,0.034
151,quickselect,1000,504,0.030
152,quickselect,1000,329,0.036
153,quickselect,1000,584,0.031
154,quickselect,1000,121,0.024
155,quickselect,1000,328,0.038
156,quickselect,1000,178,0.028
157,quickselect,1000,453,0.030
158,quickselect,1000,758,0.043
159,quickselect,1000,219,0.044
160,quickselect,1000,669,0.033
161,quickselect,1000,774,0.064
162,quickselect,1000,438,0.029
163,quickselect,1000,436,0.032
164,quickselect,1000,345,0.041
165,quickselect,1000,909,0.031
166,quickselect,1000,235,0.034
167,quickselect,1000,234,0.028
168,quickselect,1000,772,0.028
169,quickselect,1000,604,0.031
170,quickselect,1000,857,0.035
171,quickselect,1000,499,0.039
172,quickselect,1000,727,0.030
173,quickselect,1000,741,0.031
174,quickselect,1000,685,0.032
175,quickselect,1000,761,0.036
176,quickselect,1000,351,0.030
177,quickselect,1000,522,0.024
178,quickselect,1000,820,0.030
179,quickselect,1000,630,0.031
180,quickselect,1000,604,0.034
181,quickselect,1000,132,0.033
182,quickselect,1000,214,0.035
183,quickselect,1000,177,0.036
184,quickselect,1000,198,0.032
185,quickselect,1000,484,0.027
186,quickselect,1000,855,0.037
187,quickselect,1000,606,0.037
188,quickselect,1000,764,0.033
189,quickselect,1000,538,0.025
190,quickselect,1000,905,0.037
191,quickselect,1000,679,0.029
192,quickselect,1000,333,0.035
193,quickselect,1000,657,0.035
194,quickselect,1000,779,0.048
195,quickselect,1000,925,0.044
196,quickselect,1000,491,0.039
197,quickselect,1000,335,0.034
198,quickselect,1000,175,0.035
199,quickselect,1000,844,0.022
200,quickselect,1000,691,0.030
001,quickselect,10000,3462,0.047
002,quickselect,10000,4662,0.043
003,quickselect,10000,5633,0.047
004,quickselect,10000,9309,0.042
005,quickselect,10000,820,0.045
006,quickselect,10000,3036,0.045
007,quickselect,10000,2397,0.045
008,quickselect,10000,4923,0.049
009,quickselect,10000,8154,0.050
010,quickselect,10000,8467,0.050
011,quickselect,10000,7662,0.045
012,quickselect,10000,2939,0.052
013,quickselect,10000,3430,0.046
014,quickselect,10000,6561,0.064
015,quickselect,10000,9042,0.064
016,quickselect,10000,9429,0.049
017,quickselect,10000,9761,0.051
018,quickselect,10000,2657,0.049
019,quickselect,10000,1299,0.044
020,quickselect,10000,1700,0.041
021,quickselect,10000,3560,0.049
022,quickselect,10000,7954,0.045
023,quickselect,10000,505,0.048
024,quickselect,10000,4820,0.048
025,quickselect,10000,2155,0.044
026,quickselect,10000,2178,0.040
027,quickselect,10000,1026,0.044
028,quickselect,10000,959,0.040
029,quickselect,10000,1816,0.043
030,quickselect,10000,1288,0.045
031,quickselect,10000,9010,0.045
032,quickselect,10000,7207,0.047
033,quickselect,10000,3189,0.048
034,quickselect,10000,9572,0.045
035,quickselect,10000,5803,0.055
036,quickselect,10000,8115,0.046
037,quickselect,10000,639,0.050
038,quickselect,10000,2919,0.042
039,quickselect,10000,5594,0.044
040,quickselect,10000,7098,0.049
041,quickselect,10000,3109,0.042
042,quickselect,10000,9233,0.049
043,quickselect,10000,6711,0.043
044,quickselect,10000,625,0.049
045,quickselect,10000,675,0.050
046,quickselect,10000,1263,0.050
047,quickselect,10000,4859,0.043
048,quickselect,10000,8261,0.037
049,quickselect,10000,5039,0.051
050,quickselect,10000,2705,0.042
051,quickselect,10000,4351,0.043
052,quickselect,10000,791,0.043
053,quickselect,10000,6438,0.048
054,quickselect,10000,7788,0.052
055,quickselect,10000,3928,0.039
056,quickselect,10000,9498,0.038
057,quickselect,10000,9669,0.056
058,quickselect,10000,3668,0.041
059,quickselect,10000,8293,0.037
060,quickselect,10000,1133,0.056
061,quickselect,10000,4487,0.044
062,quickselect,10000,4135,0.048
063,quickselect,10000,708,0.041
064,quickselect,10000,4249,0.038
065,quickselect,10000,305,0.040
066,quickselect,10000,5051,0.038
067,quickselect,10000,5207,0.052
068,quickselect,10000,9913,0.047
069,quickselect,10000,5358,0.042
070,quickselect,10000,3845,0.047
071,quickselect,10000,9114,0.038
072,quickselect,10000,2477,0.045
073,quickselect,10000,2139,0.043
074,quickselect,10000,8590,0.045
075,quickselect,10000,8433,0.044
076,quickselect,10000,3853,0.039
077,quickselect,10000,1858,0.033
078,quickselect,10000,2358,0.036
079,quickselect,10000,1284,0.040
080,quickselect,10000,9310,0.037
081,quickselect,10000,807,0.050
082,quickselect,10000,3749,0.037
083,quickselect,10000,6218,0.036
084,quickselect,10000,6534,0.046
085,quickselect,10000,1109,0.040
086,quickselect,10000,3317,0.038
087,quickselect,10000,8006,0.048
088,quickselect,10000,8735,0.046
089,quickselect,10000,7302,0.044
090,quickselect,10000,161,0.033
091,quickselect,10000,9252,0.035
092,quickselect,10000,9085,0.041
093,quickselect,10000,5268,0.038
094,quickselect,10000,1004,0.045
095,quickselect,10000,9970,0.042
096,quickselect,10000,9583,0.038
097,quickselect,10000,5570,0.049
098,quickselect,10000,3442,0.037
099,quickselect,10000,1790,0.042
100,quickselect,10000,5928,0.043
101,quickselect,10000,6458,0.041
102,quickselect,10000,3359,0.041
103,quickselect,10000,1076,0.041
104,quickselect,10000,5499,0.044
105,quickselect,10000,8165,0.037
106,quickselect,10000,9889,0.047
107,quickselect,10000,8228,0.046
108,quickselect,10000,5576,0.039
109,quickselect,10000,4828,0.048
110,quickselect,10000,686,0.041
111,quickselect,10000,9797,0.040
112,quickselect,10000,8264,0.034
113,quickselect,10000,2257,0.036
114,quickselect,10000,7493,0.041
115,quickselect,10000,6028,0.038
116,quickselect,10000,7114,0.039
117,quickselect,10000,8060,0.034
118,quickselect,10000,2182,0.038
119,quickselect,10000,2154,0.045
120,quickselect,10000,4043,0.048
121,quickselect,10000,8790,0.041
122,quickselect,10000,9681,0.042
