"Sample Number","algorithm","fileSize","kvalue","Time"
185,quicksort,100,64,0.025
186,quicksort,100,55,0.021
187,quicksort,100,66,0.020
188,quicksort,100,74,0.020
189,quicksort,100,55,0.021
190,quicksort,100,40,0.027
191,quicksort,100,62,0.024
192,quicksort,100,59,0.021
193,quicksort,100,18,0.020
194,quicksort,100,11,0.022
195,quicksort,100,25,0.021
196,quicksort,100,40,0.025
197,quicksort,100,81,0.021
198,quicksort,100,60,0.021
199,quicksort,100,56,0.022
200,quicksort,100,46,0.025
001,quicksort,1000,902,0.033
002,quicksort,1000,217,0.025
003,quicksort,1000,980,0.023
004,quicksort,1000,950,0.023
005,quicksort,1000,678,0.024
006,quicksort,1000,873,0.025
007,quicksort,1000,829,0.027
008,quicksort,1000,596,0.026
009,quicksort,1000,722,0.022
010,quicksort,1000,344,0.025
011,quicksort,1000,591,0.034
012,quicksort,1000,810,0.023
013,quicksort,1000,537,0.022
014,quicksort,1000,552,0.023
015,quicksort,1000,898,0.022
016,quicksort,1000,471,0.034
017,quicksort,1000,126,0.023
018,quicksort,1000,980,0.023
019,quicksort,1000,106,0.022
020,quicksort,1000,527,0.026
021,quicksort,1000,426,0.029
022,quicksort,1000,597,0.030
023,quicksort,1000,558,0.022
024,quicksort,1000,825,0.024
025,quicksort,1000,459,0.022
026,quicksort,1000,92,0.026
027,quicksort,1000,337,0.023
028,quicksort,1000,994,0.022
029,quicksort,1000,239,0.023
030,quicksort,1000,127,0.026
031,quicksort,1000,810,0.028
032,quicksort,1000,725,0.029
033,quicksort,1000,190,0.023
034,quicksort,1000,572,0.023
035,quicksort,1000,683,0.024
036,quicksort,1000,863,0.031
037,quicksort,1000,363,0.024
038,quicksort,1000,679,0.022
039,quicksort,1000,571,0.026
040,quicksort,1000,500,0.031
041,quicksort,1000,632,0.028
042,quicksort,1000,531,0.026
043,quicksort,1000,724,0.027
044,quicksort,1000,268,0.026
045,quicksort,1000,428,0.029
046,quicksort,1000,802,0.026
047,quicksort,1000,989,0.028
048,quicksort,1000,914,0.025
049,quicksort,1000,246,0.029
050,quicksort,1000,260,0.025
051,quicksort,1000,645,0.033
052,quicksort,1000,770,0.029
053,quicksort,1000,22,0.030
054,quicksort,1000,473,0.028
055,quicksort,1000,508,0.023
056,quicksort,1000,720,0.028
057,quicksort,1000,472,0.023
058,quicksort,1000,799,0.023
059,quicksort,1000,170,0.022
060,quicksort,1000,665,0.025
061,quicksort,1000,784,0.031
062,quicksort,1000,802,0.027
063,quicksort,1000,835,0.022
064,quicksort,1000,875,0.023
065,quicksort,1000,308,0.023
066,quicksort,1000,167,0.022
067,quicksort,1000,561,0.022
068,quicksort,1000,731,0.022
069,quicksort,1000,548,0.022
070,quicksort,1000,415,0.030
071,quicksort,1000,888,0.033
072,quicksort,1000,129,0.024
073,quicksort,1000,178,0.024
074,quicksort,1000,115,0.023
075,quicksort,1000,135,0.026
076,quicksort,1000,341,0.029
077,quicksort,1000,393,0.029
078,quicksort,1000,500,0.031
079,quicksort,1000,420,0.034
080,quicksort,1000,57,0.035
081,quicksort,1000,392,0.024
082,quicksort,1000,560,0.022
083,quicksort,1000,68,0.022
084,quicksort,1000,260,0.025
085,quicksort,1000,59,0.026
086,quicksort,1000,539,0.023
087,quicksort,1000,621,0.031
088,quicksort,1000,290,0.026
089,quicksort,1000,285,0.022
090,quicksort,1000,675,0.027
091,quicksort,1000,412,0.024
092,quicksort,1000,324,0.022
093,quicksort,1000,960,0.025
094,quicksort,1000,858,0.022
095,quicksort,1000,317,0.028
096,quicksort,1000,280,0.022
097,quicksort,1000,720,0.023
098,quicksort,1000,369,0.024
099,quicksort,1000,782,0.024
100,quicksort,1000,817,0.032
101,quicksort,1000,554,0.027
102,quicksort,1000,465,0.026
103,quicksort,1000,379,0.026
104,quicksort,1000,812,0.028
