Sample Number,listLength,kvalue,quickselect,quicksort,deterministicselect
1,1000000,18851,1.365,5.808,4.448
2,1000000,21860,1.722,5.921,3.598
3,1000000,10262,1.534,6.146,3.769
4,1000000,27691,1.516,5.827,3.881
5,1000000,14567,1.223,6.4,3.961
6,1000000,4543,1.502,6.043,4.009
7,1000000,9646,1.474,6.254,4.338
8,1000000,1928,1.248,4.363,2.872
9,1000000,2735,1.536,4.601,2.805
10,1000000,5592,1.086,4.235,2.577
11,1000000,9207,0.836,4.5,3.209
12,1000000,19829,1.146,4.261,2.851
13,1000000,27892,0.951,4.162,2.765
14,1000000,390,0.926,4.351,3.3
15,1000000,12926,0.831,4.141,2.917
16,1000000,1647,0.825,4.161,2.854
17,1000000,17425,0.916,4.664,3.001
18,1000000,20488,1.669,4.337,2.715
19,1000000,19361,1.14,4.193,2.71
20,1000000,11565,0.822,4.106,2.697
21,1000000,3154,0.778,4.131,2.709
22,1000000,2204,1.086,4.105,2.678
23,1000000,3837,0.721,4.14,2.688
24,1000000,13981,1.096,4.087,2.71
25,1000000,18498,0.904,4.136,2.758
26,1000000,23777,0.867,4.209,2.719
27,1000000,13979,1.146,4.343,2.786
28,1000000,23971,1.112,4.33,2.727
29,1000000,1969,0.97,4.155,2.712
30,1000000,20717,1.128,4.148,2.777
31,1000000,13017,1.706,4.156,2.718
32,1000000,28305,1.037,4.175,2.717
33,1000000,21383,1.302,4.145,2.71
34,1000000,18734,0.836,4.09,2.683
35,1000000,6426,0.981,4.116,2.687
36,1000000,20068,1.487,4.072,2.694
37,1000000,2636,1.202,4.106,2.696
38,1000000,6657,1.04,4.153,2.687
39,1000000,20781,0.87,4.042,2.731
40,1000000,14788,0.976,4.075,2.714
41,1000000,31091,1.163,4.147,2.759
42,1000000,29972,0.796,4.067,2.706
43,1000000,11646,1.173,4.034,2.709
44,1000000,30650,0.898,4.098,2.741
45,1000000,16233,0.788,4.137,2.734
46,1000000,20604,1.135,4.085,2.719
47,1000000,23039,0.941,4.037,2.649
48,1000000,31791,1.107,4.146,2.689
49,1000000,16994,1.172,4.293,2.663
50,1000000,9109,1.145,4.137,2.657
51,1000000,19924,1.195,4.193,2.781
52,1000000,13864,1.103,4.196,2.756
53,1000000,18398,1.149,4.693,3.013
54,1000000,5533,0.956,4.114,2.776
55,1000000,11201,0.809,4.716,2.968
56,1000000,1475,0.79,4.537,2.908
57,1000000,30973,1.176,4.712,2.974
58,1000000,31248,0.901,4.67,3.049
59,1000000,15700,0.982,4.823,3.06
60,1000000,5617,0.916,4.544,2.847
61,1000000,24456,1.22,4.732,2.941
62,1000000,14017,1.147,4.45,2.917
63,1000000,29906,1.049,4.153,2.692
64,1000000,5617,1.187,4.449,2.965
65,1000000,10171,0.886,4.035,2.672
66,1000000,28605,0.86,4.087,2.734
67,1000000,8674,0.901,4.162,2.72
68,1000000,3728,0.728,4.227,2.726
69,1000000,13012,1.306,4.039,2.7
70,1000000,5343,0.825,4.096,2.726
71,1000000,17659,0.856,4.205,2.737
72,1000000,20258,0.977,4.125,2.748
73,1000000,18012,1.021,4.105,2.698
74,1000000,11571,0.973,4.014,2.681
75,1000000,11663,1.133,4.075,2.67
76,1000000,11838,0.819,4.216,2.722
77,1000000,25656,0.722,4.128,2.698
78,1000000,31755,1.148,4.105,2.699
79,1000000,20212,1.029,4.057,2.696
80,1000000,6717,0.753,4.083,2.699
81,1000000,5998,0.952,4.154,2.728
82,1000000,23523,0.844,4.062,2.696
83,1000000,30743,1.098,4.084,2.746
84,1000000,13681,0.898,4.082,2.697
85,1000000,16824,0.876,4.055,2.7
86,1000000,27382,0.876,4.148,2.709
87,1000000,23007,1.49,4.67,3.005
88,1000000,31270,1.736,4.843,3.201
89,1000000,13771,1.135,5.192,3.26
90,1000000,26012,1.316,4.674,3.031
91,1000000,2146,1.113,4.781,3.106
92,1000000,8794,1.165,4.998,3.162
93,1000000,10852,0.981,4.806,3.013
94,1000000,19050,1.253,4.871,3.189
95,1000000,25290,0.902,4.897,3.074
96,1000000,20283,1.195,4.529,3.122
97,1000000,21015,1.165,4.805,3.121
98,1000000,9224,0.885,4.984,3.207
99,1000000,3590,0.915,4.875,3.047
100,1000000,11365,1.051,4.998,3.012
101,1000000,9175,1.437,5.022,3.275
102,1000000,5328,1.354,4.956,3.008
103,1000000,28208,1.469,4.53,3.171
104,1000000,2776,1.066,4.756,3.114
105,1000000,8260,1.002,4.93,3.04
106,1000000,44,1.041,4.734,3.047
107,1000000,19137,1.085,4.767,3.172
108,1000000,12219,1.026,4.787,3.028
109,1000000,8120,1.254,4.885,3.072
110,1000000,28076,0.98,4.814,3.094
111,1000000,2423,1.667,4.664,3.126
112,1000000,21202,1,4.778,3.07
113,1000000,29968,0.96,3.913,2.627
114,1000000,490,0.724,4.068,2.647
115,1000000,11265,1.044,4.068,2.656
116,1000000,2241,0.796,3.971,2.647
117,1000000,28986,0.775,4.103,2.693
118,1000000,10526,1.03,4.076,2.66
119,1000000,31856,1.154,4.101,2.647
120,1000000,5374,1.17,4.068,865.93
121,1000000,4995,1.176,4.104,2.713
122,1000000,20352,0.917,4.164,2.843
123,1000000,5214,1.127,4.426,2.881
124,1000000,24471,0.883,5.27,3.417
125,1000000,29342,0.988,1530.06,3.932
126,1000000,17249,1.002,4.804,2.799
127,1000000,10972,1.205,4.483,2.908
128,1000000,2729,1.312,4.393,2.879
129,1000000,10867,1.086,4.304,1639.022
130,1000000,7432,0.966,6.296,3.416
131,1000000,21789,1.183,6.722,2.865
132,1000000,25500,1.552,5.235,3.217
133,1000000,23213,1.381,4.257,2.718
134,1000000,18509,0.962,3.994,2.722
135,1000000,9699,1.09,4.088,2.693
136,1000000,11295,1.011,4.043,2.745
137,1000000,514,0.909,4.162,2.803
138,1000000,3063,1.157,4.42,2.789
139,1000000,22445,1.164,4.112,2.739
140,1000000,30439,1.332,4.497,2.887
141,1000000,16961,0.87,4.843,3.169
142,1000000,10967,1.024,5.687,3.665
143,1000000,28061,0.975,4.269,3.284
144,1000000,5159,1.266,4.668,3.051
145,1000000,22813,0.937,4.203,3.123
146,1000000,31393,1.795,7.165,3.918
147,1000000,30507,1.451,6.926,3.721
148,1000000,18894,1.763,6.555,2.839
149,1000000,22971,1.099,4.345,3.056
150,1000000,3213,1.04,4.61,3.046
151,1000000,25228,1.226,4.742,3.046
152,1000000,21379,1.257,4.682,3.252
153,1000000,29437,0.892,4.454,2.857
154,1000000,17329,1.08,4.619,2.889
155,1000000,2528,0.946,4.313,2.904
156,1000000,26209,1.122,4.54,2.933
157,1000000,20108,0.977,4.403,2.888
158,1000000,29981,1.427,4.465,2.81
159,1000000,26398,1.46,4.293,2.806
160,1000000,13426,0.949,4.415,2.805
161,1000000,21672,1.259,4.219,2.785
162,1000000,28084,1.252,4.414,2.937
163,1000000,6848,1.13,4.607,2.666
164,1000000,11245,1.018,4.071,2.763
165,1000000,24751,0.832,4.026,2.469
166,1000000,31181,0.73,4.06,2.669
167,1000000,12590,0.817,4.119,2.659
168,1000000,28207,1.194,4.033,2.681
169,1000000,12910,1.145,4.111,2.673
170,1000000,19085,0.856,4.55,3.048
171,1000000,21227,1.028,4.124,2.75
172,1000000,14971,0.916,4.113,2.696
173,1000000,10283,0.727,4.219,2.682
174,1000000,21762,1.072,4.091,2.743
175,1000000,19329,1.206,4.081,2.69
176,1000000,18546,1.451,4.149,2.728
177,1000000,3438,0.726,4.07,2.694
178,1000000,1792,0.868,4.111,2.704
179,1000000,4909,0.775,4.316,2.758
180,1000000,20049,0.919,4.091,2.684
181,1000000,2707,1.138,4.033,2.653
182,1000000,28092,1.023,4.006,2.691
183,1000000,18251,1.051,4.027,2.719
184,1000000,12012,0.725,4.083,2.907
185,1000000,273,0.847,4.138,2.733
186,1000000,10794,0.983,4.046,2.699
187,1000000,15744,1.193,4.086,2.74
188,1000000,2926,0.894,4.091,2.752
189,1000000,24712,0.819,4.315,2.748
190,1000000,20246,0.813,4.095,2.703
191,1000000,7593,0.793,4.16,2.673
192,1000000,13518,1.394,4.064,2.738
193,1000000,16524,1.09,4.126,2.734
194,1000000,1284,0.903,4.095,2.722
195,1000000,11910,1.121,4.045,2.769
196,1000000,14608,1.136,4.082,2.678
197,1000000,19252,1.158,4.034,2.705
198,1000000,4041,0.881,4.031,2.71
199,1000000,16678,1.184,4.115,2.69
200,1000000,2112,0.76,4.093,2.688
