"Sample Number","fileSize","kvalue","quickselect","quicksort","deterministicselect"
151,10^2,52,0.024,0.032,0.038,
152,10^2,74,0.034,0.037,0.038,
153,10^2,64,0.035,0.027,0.033,
154,10^2,45,0.040,0.026,0.035,
155,10^2,65,0.029,0.033,0.035,
156,10^2,82,0.030,0.035,0.037,
157,10^2,16,0.038,0.037,0.031,
158,10^2,24,0.044,0.035,0.028,
159,10^2,29,0.061,0.044,0.036,
160,10^2,42,0.040,0.040,0.036,
161,10^2,50,0.040,0.030,0.036,
162,10^2,24,0.037,0.034,0.036,
163,10^2,24,0.023,0.040,0.032,
164,10^2,29,0.032,0.033,0.035,
165,10^2,63,0.032,0.031,0.038,
166,10^2,90,0.037,0.034,0.026,
167,10^2,43,0.027,0.028,0.033,
168,10^2,44,0.036,0.040,0.031,
169,10^2,77,0.044,0.029,0.028,
170,10^2,91,0.037,0.031,0.037,
171,10^2,48,0.027,0.026,0.034,
172,10^2,47,0.037,0.050,0.035,
173,10^2,33,0.034,0.046,0.032,
174,10^2,17,0.033,0.035,0.035,
175,10^2,79,0.025,0.030,0.040,
176,10^2,8,0.036,0.036,0.025,
177,10^2,41,0.029,0.032,0.034,
178,10^2,16,0.034,0.026,0.031,
179,10^2,74,0.038,0.033,0.038,
180,10^2,60,0.037,0.036,0.030,
181,10^2,98,0.026,0.038,0.032,
182,10^2,81,0.034,0.037,0.034,
183,10^2,43,0.037,0.030,0.044,
184,10^2,84,0.033,0.037,0.034,
185,10^2,74,0.031,0.035,0.031,
186,10^2,24,0.026,0.041,0.029,
187,10^2,11,0.035,0.033,0.035,
188,10^2,49,0.033,0.027,0.031,
189,10^2,18,0.037,0.035,0.030,
190,10^2,53,0.032,0.031,0.038,
191,10^2,7,0.034,0.025,0.041,
192,10^2,28,0.031,0.036,0.036,
193,10^2,54,0.027,0.031,0.034,
194,10^2,90,0.035,0.037,0.035,
195,10^2,54,0.026,0.037,0.032,
196,10^2,3,0.035,0.040,0.023,
197,10^2,32,0.028,0.029,0.035,
198,10^2,7,0.034,0.032,0.034,
199,10^2,33,0.029,0.033,0.043,
200,10^2,82,0.032,0.035,0.024,
001,10^3,805,0.026,0.037,0.033,
002,10^3,631,0.033,0.038,0.036,
003,10^3,125,0.028,0.033,0.034,
004,10^3,36,0.040,0.033,0.036,
005,10^3,191,0.032,0.030,0.033,
006,10^3,438,0.034,0.034,0.039,
007,10^3,490,0.033,0.030,0.035,
008,10^3,225,0.031,0.035,0.037,
009,10^3,582,0.034,0.039,0.042,
010,10^3,913,0.034,0.034,0.034,
011,10^3,603,0.026,0.031,0.036,
012,10^3,176,0.036,0.034,0.035,
013,10^3,502,0.036,0.030,0.040,
014,10^3,981,0.030,0.037,0.035,
015,10^3,533,0.037,0.034,0.029,
016,10^3,807,0.029,0.033,0.036,
017,10^3,142,0.033,0.030,0.032,
018,10^3,254,0.034,0.036,0.036,
019,10^3,806,0.026,0.030,0.040,
020,10^3,728,0.040,0.036,0.036,
021,10^3,893,0.037,0.034,0.036,
022,10^3,568,0.027,0.036,0.032,
023,10^3,322,0.034,0.038,0.036,
024,10^3,737,0.027,0.034,0.033,
025,10^3,770,0.035,0.029,0.034,
026,10^3,64,0.035,0.035,0.035,
