"Sample Number","fileSize","kvalue","quickselect","quicksort","deterministicselect"
051,10^5,10142,0.161,0.499,0.373,
052,10^5,1718,0.141,0.489,0.374,
053,10^5,5083,0.174,0.533,0.409,
054,10^5,8270,0.179,0.447,0.378,
055,10^5,5001,0.146,0.484,0.396,
056,10^5,24746,0.135,0.460,0.409,
057,10^5,22780,0.157,0.527,0.394,
058,10^5,930,0.157,0.438,0.363,
059,10^5,18885,0.159,0.447,0.360,
060,10^5,1710,0.147,0.398,0.364,
061,10^5,53,0.118,0.442,0.352,
062,10^5,15438,0.139,0.465,0.351,
063,10^5,32563,0.172,0.417,0.361,
064,10^5,5834,0.141,0.425,0.361,
065,10^5,30753,0.183,0.452,0.337,
066,10^5,31641,0.174,0.433,0.382,
067,10^5,5437,0.127,0.455,0.351,
068,10^5,27803,0.135,0.408,0.347,
069,10^5,27588,0.239,0.449,0.341,
070,10^5,5604,0.146,0.449,0.371,
071,10^5,14275,0.176,0.432,0.375,
072,10^5,18125,0.140,0.448,0.414,
073,10^5,87,0.157,0.497,0.394,
074,10^5,31366,0.172,0.464,0.409,
075,10^5,28106,0.159,0.446,0.379,
076,10^5,18522,0.208,0.439,0.438,
077,10^5,9171,0.163,0.449,0.366,
078,10^5,19816,0.156,0.473,0.410,
079,10^5,2275,0.190,0.501,0.381,
080,10^5,20863,0.159,0.537,0.368,
081,10^5,14399,0.168,0.462,0.374,
082,10^5,32351,0.233,0.494,0.369,
083,10^5,8029,0.185,0.431,0.355,
084,10^5,27779,0.203,0.530,0.351,
085,10^5,10170,0.155,0.452,0.362,
086,10^5,31309,0.153,0.455,0.348,
087,10^5,32042,0.189,0.446,0.343,
088,10^5,18983,0.197,0.472,0.357,
089,10^5,11592,0.187,0.466,0.377,
090,10^5,20982,0.187,0.463,0.353,
091,10^5,14226,0.123,0.444,0.354,
092,10^5,2540,0.125,0.418,0.357,
093,10^5,24156,0.177,0.417,0.347,
094,10^5,29346,0.198,0.422,0.335,
095,10^5,20377,0.177,0.428,0.430,
096,10^5,18951,0.164,0.453,0.347,
097,10^5,16681,0.165,0.428,0.358,
098,10^5,19576,0.214,0.414,0.340,
099,10^5,3889,0.158,0.449,0.363,
100,10^5,15141,0.155,0.420,0.355,
101,10^5,31657,0.205,0.458,0.375,
102,10^5,661,0.139,0.458,0.358,
103,10^5,3360,0.170,0.450,0.389,
104,10^5,13279,0.171,0.474,0.408,
105,10^5,26474,0.159,0.472,0.362,
106,10^5,239,0.120,0.449,0.361,
107,10^5,943,0.145,0.528,0.391,
108,10^5,32763,0.171,0.478,0.361,
109,10^5,5659,0.175,0.450,0.368,
110,10^5,5101,0.210,0.438,0.352,
111,10^5,26136,0.162,0.526,0.387,
112,10^5,26472,0.150,0.428,0.360,
113,10^5,4826,0.259,0.443,0.388,
114,10^5,24002,0.177,0.471,0.383,
115,10^5,24749,0.158,0.453,0.377,
116,10^5,10488,0.128,0.513,0.362,
117,10^5,27707,0.175,0.474,0.367,
118,10^5,17805,0.180,0.531,0.412,
119,10^5,12232,0.156,0.489,0.386,
120,10^5,25819,0.196,0.463,0.373,
121,10^5,21272,0.208,0.505,0.343,
122,10^5,15410,0.132,0.519,0.378,
123,10^5,31094,0.147,0.445,0.368,
124,10^5,13023,0.137,0.465,0.330,
125,10^5,23067,0.165,0.457,0.361,
126,10^5,29430,0.191,0.449,0.361,
127,10^5,5602,0.169,0.442,0.360,
128,10^5,24681,0.177,0.432,0.343,
129,10^5,8716,0.191,0.458,0.367,
130,10^5,24540,0.228,0.463,0.358,
131,10^5,29315,0.164,0.432,0.346,
132,10^5,4658,0.151,0.438,0.353,
133,10^5,32475,0.166,0.450,0.354,
134,10^5,11203,0.196,0.441,0.337,
135,10^5,31749,0.158,0.461,0.352,
136,10^5,17859,0.188,0.446,0.372,
137,10^5,24941,0.210,0.449,0.359,
138,10^5,26172,0.162,0.477,0.383,
139,10^5,15096,0.132,0.455,0.361,
140,10^5,28334,0.212,0.454,0.357,
141,10^5,4647,0.163,0.454,0.361,
142,10^5,6957,0.219,0.452,0.368,
143,10^5,3899,0.133,0.496,0.377,
144,10^5,11154,0.188,0.525,0.379,
145,10^5,2107,0.132,0.495,0.375,
146,10^5,9767,0.157,0.463,0.346,
147,10^5,13863,0.145,0.442,0.342,
148,10^5,20172,0.211,0.557,0.359,
149,10^5,27061,0.229,0.458,0.379,
150,10^5,24454,0.138,0.442,0.397,
151,10^5,1915,0.140,0.463,0.453,
152,10^5,14077,0.171,0.457,0.354,
153,10^5,68,0.138,0.461,0.348,
154,10^5,32590,0.139,0.437,0.353,
155,10^5,5386,0.204,0.426,0.398,
156,10^5,13120,0.136,0.450,0.354,
157,10^5,11977,0.172,0.451,0.350,
158,10^5,20928,0.147,0.436,0.331,
159,10^5,6438,0.135,0.492,0.347,
160,10^5,28456,0.205,0.426,0.349,
161,10^5,13217,0.124,0.463,0.341,
162,10^5,6591,0.153,0.416,0.339,
163,10^5,24523,0.158,0.431,0.369,
164,10^5,8828,0.149,0.450,0.346,
165,10^5,17331,0.149,0.434,0.360,
166,10^5,15590,0.130,0.415,0.307,
167,10^5,5771,0.161,0.464,0.383,
168,10^5,178,0.206,0.463,0.360,
169,10^5,19000,0.166,0.458,0.366,
170,10^5,5478,0.175,0.448,0.379,
171,10^5,12093,0.162,0.548,0.360,
172,10^5,9260,0.223,0.474,0.366,
173,10^5,22861,0.181,0.440,0.379,
174,10^5,1440,0.177,0.490,0.377,
175,10^5,16741,0.166,0.509,0.377,
176,10^5,28980,0.163,0.462,0.385,
177,10^5,5946,0.161,0.467,0.371,
178,10^5,10630,0.214,0.515,0.367,
179,10^5,5730,0.209,0.476,0.387,
180,10^5,11449,0.180,0.482,0.370,
181,10^5,13440,0.133,0.491,0.377,
182,10^5,16818,0.147,0.449,0.443,
183,10^5,19546,0.141,0.481,0.399,
184,10^5,17095,0.152,0.461,0.361,
185,10^5,13988,0.150,0.426,0.367,
186,10^5,13379,0.174,0.443,0.404,
187,10^5,15334,0.194,0.463,0.365,
188,10^5,30920,0.147,0.449,0.331,
189,10^5,9150,0.148,0.431,0.334,
190,10^5,16251,0.179,0.452,0.331,
191,10^5,3196,0.253,0.773,0.408,
192,10^5,1916,0.130,0.492,0.366,
193,10^5,23232,0.201,0.474,0.361,
194,10^5,14873,0.143,0.452,0.397,
195,10^5,9120,0.149,0.468,0.374,
196,10^5,22714,0.175,0.566,0.397,
197,10^5,9351,0.165,0.459,0.390,
198,10^5,32119,0.148,0.612,0.452,
199,10^5,23242,0.200,0.549,0.399,
200,10^5,25828,0.364,0.825,0.581,
001,10^6,18851,1.365,5.808,4.448,
002,10^6,21860,1.722,5.921,3.598,
003,10^6,10262,1.534,6.146,3.769,
004,10^6,27691,1.516,5.827,3.881,
005,10^6,14567,1.223,6.400,3.961,
006,10^6,4543,1.502,6.043,4.009,
007,10^6,9646,1.474,6.254,4.338,
008,10^6,1928,1.248,4.363,2.872,
009,10^6,2735,1.536,4.601,2.805,
010,10^6,5592,1.086,4.235,2.577,
011,10^6,9207,0.836,4.500,3.209,
012,10^6,19829,1.146,4.261,2.851,
013,10^6,27892,0.951,4.162,2.765,
014,10^6,390,0.926,4.351,3.300,
015,10^6,12926,0.831,4.141,2.917,
016,10^6,1647,0.825,4.161,2.854,
017,10^6,17425,0.916,4.664,3.001,
018,10^6,20488,1.669,4.337,2.715,
019,10^6,19361,1.140,4.193,2.710,
020,10^6,11565,0.822,4.106,2.697,
021,10^6,3154,0.778,4.131,2.709,
022,10^6,2204,1.086,4.105,2.678,
023,10^6,3837,0.721,4.140,2.688,
024,10^6,13981,1.096,4.087,2.710,
025,10^6,18498,0.904,4.136,2.758,
026,10^6,23777,0.867,4.209,2.719,
027,10^6,13979,1.146,4.343,2.786,
028,10^6,23971,1.112,4.330,2.727,
029,10^6,1969,0.970,4.155,2.712,
030,10^6,20717,1.128,4.148,2.777,
031,10^6,13017,1.706,4.156,2.718,
032,10^6,28305,1.037,4.175,2.717,
033,10^6,21383,1.302,4.145,2.710,
034,10^6,18734,0.836,4.090,2.683,
035,10^6,6426,0.981,4.116,2.687,
036,10^6,20068,1.487,4.072,2.694,
037,10^6,2636,1.202,4.106,2.696,
038,10^6,6657,1.040,4.153,2.687,
039,10^6,20781,0.870,4.042,2.731,
040,10^6,14788,0.976,4.075,2.714,
041,10^6,31091,1.163,4.147,2.759,
042,10^6,29972,0.796,4.067,2.706,
043,10^6,11646,1.173,4.034,2.709,
044,10^6,30650,0.898,4.098,2.741,
045,10^6,16233,0.788,4.137,2.734,
046,10^6,20604,1.135,4.085,2.719,
047,10^6,23039,0.941,4.037,2.649,
048,10^6,31791,1.107,4.146,2.689,
049,10^6,16994,1.172,4.293,2.663,
050,10^6,9109,1.145,4.137,2.657,
051,10^6,19924,1.195,4.193,2.781,
052,10^6,13864,1.103,4.196,2.756,
053,10^6,18398,1.149,4.693,3.013,
054,10^6,5533,0.956,4.114,2.776,
055,10^6,11201,0.809,4.716,2.968,
056,10^6,1475,0.790,4.537,2.908,
057,10^6,30973,1.176,4.712,2.974,
058,10^6,31248,0.901,4.670,3.049,
059,10^6,15700,0.982,4.823,3.060,
060,10^6,5617,0.916,4.544,2.847,
061,10^6,24456,1.220,4.732,2.941,
062,10^6,14017,1.147,4.450,2.917,
063,10^6,29906,1.049,4.153,2.692,
064,10^6,5617,1.187,4.449,2.965,
065,10^6,10171,0.886,4.035,2.672,
066,10^6,28605,0.860,4.087,2.734,
067,10^6,8674,0.901,4.162,2.720,
068,10^6,3728,0.728,4.227,2.726,
069,10^6,13012,1.306,4.039,2.700,
070,10^6,5343,0.825,4.096,2.726,
071,10^6,17659,0.856,4.205,2.737,
072,10^6,20258,0.977,4.125,2.748,
073,10^6,18012,1.021,4.105,2.698,
074,10^6,11571,0.973,4.014,2.681,
075,10^6,11663,1.133,4.075,2.670,
076,10^6,11838,0.819,4.216,2.722,
077,10^6,25656,0.722,4.128,2.698,
078,10^6,31755,1.148,4.105,2.699,
079,10^6,20212,1.029,4.057,2.696,
080,10^6,6717,0.753,4.083,2.699,
081,10^6,5998,0.952,4.154,2.728,
082,10^6,23523,0.844,4.062,2.696,
083,10^6,30743,1.098,4.084,2.746,
084,10^6,13681,0.898,4.082,2.697,
085,10^6,16824,0.876,4.055,2.700,
086,10^6,27382,0.876,4.148,2.709,
087,10^6,23007,1.490,4.670,3.005,
088,10^6,31270,1.736,4.843,3.201,
089,10^6,13771,1.135,5.192,3.260,
090,10^6,26012,1.316,4.674,3.031,
091,10^6,2146,1.113,4.781,3.106,
092,10^6,8794,1.165,4.998,3.162,
093,10^6,10852,0.981,4.806,3.013,
094,10^6,19050,1.253,4.871,3.189,
095,10^6,25290,0.902,4.897,3.074,
096,10^6,20283,1.195,4.529,3.122,
097,10^6,21015,1.165,4.805,3.121,
098,10^6,9224,0.885,4.984,3.207,
099,10^6,3590,0.915,4.875,3.047,
100,10^6,11365,1.051,4.998,3.012,
101,10^6,9175,1.437,5.022,3.275,
102,10^6,5328,1.354,4.956,3.008,
103,10^6,28208,1.469,4.530,3.171,
104,10^6,2776,1.066,4.756,3.114,
105,10^6,8260,1.002,4.930,3.040,
106,10^6,44,1.041,4.734,3.047,
107,10^6,19137,1.085,4.767,3.172,
108,10^6,12219,1.026,4.787,3.028,
109,10^6,8120,1.254,4.885,3.072,
110,10^6,28076,0.980,4.814,3.094,
111,10^6,2423,1.667,4.664,3.126,
112,10^6,21202,1.000,4.778,3.070,
113,10^6,29968,0.960,3.913,2.627,
114,10^6,490,0.724,4.068,2.647,
115,10^6,11265,1.044,4.068,2.656,
116,10^6,2241,0.796,3.971,2.647,
117,10^6,28986,0.775,4.103,2.693,
118,10^6,10526,1.030,4.076,2.660,
119,10^6,31856,1.154,4.101,2.647,
121,10^6,4995,1.176,4.104,2.713,
122,10^6,20352,0.917,4.164,2.843,
123,10^6,5214,1.127,4.426,2.881,
124,10^6,24471,0.883,5.270,3.417,
126,10^6,17249,1.002,4.804,2.799,
127,10^6,10972,1.205,4.483,2.908,
128,10^6,2729,1.312,4.393,2.879,
130,10^6,7432,0.966,6.296,3.416,
131,10^6,21789,1.183,6.722,2.865,
132,10^6,25500,1.552,5.235,3.217,
133,10^6,23213,1.381,4.257,2.718,
134,10^6,18509,0.962,3.994,2.722,
135,10^6,9699,1.090,4.088,2.693,
136,10^6,11295,1.011,4.043,2.745,
137,10^6,514,0.909,4.162,2.803,
138,10^6,3063,1.157,4.420,2.789,
139,10^6,22445,1.164,4.112,2.739,
140,10^6,30439,1.332,4.497,2.887,
141,10^6,16961,0.870,4.843,3.169,
142,10^6,10967,1.024,5.687,3.665,
143,10^6,28061,0.975,4.269,3.284,
144,10^6,5159,1.266,4.668,3.051,
145,10^6,22813,0.937,4.203,3.123,
146,10^6,31393,1.795,7.165,3.918,
147,10^6,30507,1.451,6.926,3.721,
148,10^6,18894,1.763,6.555,2.839,
149,10^6,22971,1.099,4.345,3.056,
150,10^6,3213,1.040,4.610,3.046,
151,10^6,25228,1.226,4.742,3.046,
152,10^6,21379,1.257,4.682,3.252,
153,10^6,29437,0.892,4.454,2.857,
154,10^6,17329,1.080,4.619,2.889,
155,10^6,2528,0.946,4.313,2.904,
156,10^6,26209,1.122,4.540,2.933,
157,10^6,20108,0.977,4.403,2.888,
158,10^6,29981,1.427,4.465,2.810,
159,10^6,26398,1.460,4.293,2.806,
160,10^6,13426,0.949,4.415,2.805,
161,10^6,21672,1.259,4.219,2.785,
162,10^6,28084,1.252,4.414,2.937,
163,10^6,6848,1.130,4.607,2.666,
164,10^6,11245,1.018,4.071,2.763,
165,10^6,24751,0.832,4.026,2.469,
166,10^6,31181,0.730,4.060,2.669,
167,10^6,12590,0.817,4.119,2.659,
168,10^6,28207,1.194,4.033,2.681,
169,10^6,12910,1.145,4.111,2.673,
170,10^6,19085,0.856,4.550,3.048,
171,10^6,21227,1.028,4.124,2.750,
172,10^6,14971,0.916,4.113,2.696,
173,10^6,10283,0.727,4.219,2.682,
174,10^6,21762,1.072,4.091,2.743,
175,10^6,19329,1.206,4.081,2.690,
176,10^6,18546,1.451,4.149,2.728,
177,10^6,3438,0.726,4.070,2.694,
178,10^6,1792,0.868,4.111,2.704,
179,10^6,4909,0.775,4.316,2.758,
180,10^6,20049,0.919,4.091,2.684,
181,10^6,2707,1.138,4.033,2.653,
182,10^6,28092,1.023,4.006,2.691,
183,10^6,18251,1.051,4.027,2.719,
184,10^6,12012,0.725,4.083,2.907,
185,10^6,273,0.847,4.138,2.733,
186,10^6,10794,0.983,4.046,2.699,
187,10^6,15744,1.193,4.086,2.740,
188,10^6,2926,0.894,4.091,2.752,
189,10^6,24712,0.819,4.315,2.748,
190,10^6,20246,0.813,4.095,2.703,
191,10^6,7593,0.793,4.160,2.673,
192,10^6,13518,1.394,4.064,2.738,
193,10^6,16524,1.090,4.126,2.734,
194,10^6,1284,0.903,4.095,2.722,
195,10^6,11910,1.121,4.045,2.769,
196,10^6,14608,1.136,4.082,2.678,
197,10^6,19252,1.158,4.034,2.705,
198,10^6,4041,0.881,4.031,2.710,
199,10^6,16678,1.184,4.115,2.690,
200,10^6,2112,0.760,4.093,2.688,
